KEY,English(US),English(UK),Japanese,Spanish,French,German,Italian
ArrangeHelp,Arrange items.[ENDN],Arrange items.[ENDN],アイテムをならびかえます。[ENDN],Permite ordenar los objetos.[ENDN],Range les objets.[ENDN],Items können geordnet werden.[ENDN],Permette di ordinare gli oggetti.[ENDN]
KeyItemHelp,View key items.[ENDN],View key items.[ENDN],だいじなものを\n確認できます。[ENDN],Muestra las cosas\nimportantes.[ENDN],Affiche les trésors obtenus\nau cours du jeu.[ENDN],Wertvolle Gegenstände\nkönnen begutachtet\nwerden.[ENDN],Visualizza le\ncose preziose e\ngli oggetti rari.[ENDN]
TargetHelp,Select character.[ENDN],Select character.[ENDN],キャラクタを\n選んでください。[ENDN],Elige un\npersonaje.[ENDN],Choisissez un\n[YSUB=4]personnage.[ENDN],Charakter wählen.[ENDN],Scegli un\npersonaggio.[ENDN]
TargetHelpMobile,Select character.[ENDN],Select character.[ENDN],キャラクタを\n選んでください。[ENDN],Elige un\npersonaje.[ENDN],Choisissez un\n[YSUB=4]personnage.[ENDN],Charakter wählen.[ENDN],Scegli un\npersonaggio.[ENDN]
AutoHelp,Arrange items\n[A85038][HSHD]automatically[383838][HSHD].[ENDN],Arrange items\n[A85038][HSHD]automatically[383838][HSHD].[ENDN],[A85038][HSHD]自動[383838][HSHD]でならびかえます。[ENDN],Permite ordenar\nde forma [A85038][HSHD]automática[383838][HSHD].[ENDN],Range les objets\n[A85038][HSHD]automatiquement.[383838][HSHD][ENDN],Items werden\n[A85038][HSHD]automatisch[383838][HSHD] geordnet.[ENDN],Ordina\n[A85038][HSHD]automaticamente[383838][HSHD].[ENDN]
ManualHelp,Arrange items\n[A85038][HSHD]manually[383838][HSHD].[ENDN],Arrange items\n[A85038][HSHD]manually[383838][HSHD].[ENDN],[A85038][HSHD]手動[383838][HSHD]でならびかえます。[ENDN],Permite ordenar\nde forma [A85038][HSHD]manual[383838][HSHD].[ENDN],Range les objets\n[A85038][HSHD]manuellement.[383838][HSHD][ENDN],Items können [A85038][HSHD]manuell[383838][HSHD]\ngeordnet werden.[ENDN],Ordina [A85038][HSHD]manualmente[383838][HSHD].[ENDN]
UseChocoboItem,[CENT=0][IMME]Kweeeh!,[CENT=0][IMME]Kweeeh!,[CENT=0][IMME]クェッ!,[CENT=0][IMME]¡Kue!,[CENT=0][IMME]Kwoaaa !!,[CENT=0][IMME]Käräh!,[CENT=0][IMME]Kué!
Ability,Ability,Ability,アビリティ,Habilidad,Comp.,Ability,Abilità
,,,,,,,
UseAbility,Use,Use,つかう,Usar,Utiliser,Benutzen,Usa
EquipAbility,Equip,Equip,そうび,Activar,Activer,Anlegen,Attiva
UseAbilityHelp,Use action abilities.\n[ENDN],Use action abilities.\n[ENDN],アクションアビリティを使用します。\n[ENDN],Usa una habilidad de comando.\n[ENDN],Utilise les compétences de combat.\n[ENDN],Action-Ability benutzen.\n[ENDN],Usa un’abilità d’azione.\n[ENDN]
EquipAbilityHelp,Use magic stones\nto equip support abilities.[ENDN],Use magic stones\nto equip support abilities.[ENDN],キャラクタの魔石力を使って、\nサポートアビリティの装備を変更します。[ENDN],Activa habilidades de apoyo\nutilizando piedras mágicas.[ENDN],Sélectionne les compétences\nde soutien grâce au pouvoir\ndes magikolithes du personnage.[ENDN],"Magiestein anlegen, um Charakter \nmit Hilfs-Abilitys auszurüsten.",Attiva abilità di supporto\nutilizzando pietre magiche.[ENDN]
EquipAbilityPlayer,\n[CBTN=SQUARE][FEED=2](Equip Menu),\n[CBTN=SQUARE][FEED=2](Equip Menu),\n[CBTN=SQUARE](装備画面へ),\n[CBTN=SQUARE][FEED=2]Menú de equipo,\n[CBTN=SQUARE][FEED=2]: Menu Equip.,\n[CBTN=SQUARE][FEED=2]Zum Ausrüstungs-Menü.,\n[CBTN=SQUARE][FEED=2](Menu Equip)
EquipAbilityPlayerMobile,\nTap on Ability Menu to switch to Equip Menu,\nTap on Ability Menu to switch to Equip Menu,\nアビリティ画面から装備画面へ移動,\nToca Menú de habilidades\npara ir al Menú de equipo.,\nTouchez Menu Comp.\npour alterner avec Menu Equip.,"\nTippen Sie auf das Ability-Menü, um zum\nAusrüstungs-Menü zu wechseln.",\nTocca Menu Abilità\nper passare al Menu Equip.
UseAbilityHelpStatus,They cannot be used if you are\n[YADD=2][ICON=154][YSUB=2][FEED=1][A85038][HSHD]Petrified[383838][HSHD] or [YADD=2][ICON=151][YSUB=2][FEED=1][A85038][HSHD]Silenced[383838][HSHD].\n[CBTN=SQUARE][FEED=2](Equip Menu)[ENDN],They cannot be used if you are\n[YADD=2][ICON=154][YSUB=2][FEED=1][A85038][HSHD]Petrified[383838][HSHD] or [YADD=2][ICON=151][YSUB=2][FEED=1][A85038][HSHD]Silenced[383838][HSHD].\n[CBTN=SQUARE][FEED=2](Equip Menu)[ENDN],[YADD=2][ICON=154][YSUB=2][FEED=1][A85038][HSHD]石化[383838][HSHD]、[YADD=2][ICON=151][YSUB=2][FEED=1][A85038][HSHD]沈黙[383838][HSHD]時は使用できません。\n[CBTN=SQUARE](装備画面へ)[ENDN],No puede utilizarse en los\nestados [YADD=2][ICON=154][YSUB=2][FEED=1][A85038][HSHD]Piedra y [YADD=2][ICON=151][YSUB=2][FEED=1][A85038][HSHD]Mudez[383838].\n[CBTN=SQUARE][FEED=2]Menú de equipo[ENDN],[YADD=2][ICON=154][YSUB=2][FEED=2][A85038][HSHD]Fossile[383838][HSHD] et [YADD=2][ICON=151][YSUB=2][FEED=2][A85038][HSHD]Mutisme[383838][HSHD] bloquent\n[YSUB=4]ces commandes.\n[CBTN=SQUARE][FEED=2]: Menu Equip.[ENDN],Kann während [YADD=2][ICON=154][YSUB=2][FEED=1][A85038][HSHD]Stein[383838][HSHD] und [YADD=2][ICON=151][YSUB=2][FEED=1][A85038][HSHD]Schweigen[383838][HSHD]\nnicht verwendet werden.\n[CBTN=SQUARE][FEED=2]Zum Ausrüstungs-Menü.[ENDN],Non si può usare con status\n[A85038][HSHD]Pietra[383838][HSHD] [YADD=2][ICON=154][YSUB=2][FEED=1] e [A85038][HSHD]Silenzio[383838][HSHD] [YADD=2][ICON=151][YSUB=2][FEED=1].\n[CBTN=SQUARE][FEED=2](Menu Equip)[ENDN]
UseAbilityHelpStatusMobile,They cannot be used if you are\n[YADD=2][ICON=154][YSUB=2][FEED=1][A85038][HSHD]Petrified[383838][HSHD] or [YADD=2][ICON=151][YSUB=2][FEED=1][A85038][HSHD]Silenced[383838][HSHD].\nTap on Ability Menu to switch to Equip Menu[ENDN],They cannot be used if you are\n[YADD=2][ICON=154][YSUB=2][FEED=1][A85038][HSHD]Petrified[383838][HSHD] or [YADD=2][ICON=151][YSUB=2][FEED=1][A85038][HSHD]Silenced[383838][HSHD].\nTap on Ability Menu to switch to Equip Menu[ENDN],[YADD=2][ICON=154][YSUB=2][FEED=1][A85038][HSHD]石化[383838][HSHD]、[YADD=2][ICON=151][YSUB=2][FEED=1][A85038][HSHD]沈黙[383838][HSHD]時は使用できません。\nアビリティ画面から装備画面へ移動[ENDN],No puede utilizarse en los\nestados [YADD=2][ICON=154][YSUB=2][FEED=1][A85038][HSHD]Piedra y [YADD=2][ICON=151][YSUB=2][FEED=1][A85038][HSHD]Mudez[383838].\nToca Menú de habilidades\npara ir al Menú de equipo.[ENDN],[YSUB=4][YADD=2][ICON=154][YSUB=2][FEED=2][A85038][HSHD]Fossile[383838][HSHD] et [YADD=2][ICON=151][YSUB=2][FEED=2][A85038][HSHD]Mutisme[383838][HSHD] bloquent\n[YSUB=4]ces commandes.\nTouchez Menu Comp.\npour alterner avec Menu Equip.[ENDN],"Kann während [YADD=2][ICON=154][YSUB=2][FEED=1][A85038][HSHD]Stein[383838][HSHD] und [YADD=2][ICON=151][YSUB=2][FEED=1][A85038][HSHD]Schweigen[383838][HSHD]\nnicht verwendet werden.\nTippen Sie auf das Ability-Menü, um zum\nAusrüstungs-Menü zu wechseln.[ENDN]",Non si può usare con status\n[A85038][HSHD]Pietra[383838][HSHD] [YADD=2][ICON=154][YSUB=2][FEED=1] e [A85038][HSHD]Silenzio[383838][HSHD] [YADD=2][ICON=151][YSUB=2][FEED=1].\nTocca Menu Abilità\nper passare al Menu Equip.[ENDN]
UseAbilityHelpForever,[A85038][HSHD]This character cannot use this.[383838][HSHD]\n[CBTN=SQUARE][FEED=2](Equip Menu)[ENDN],[A85038][HSHD]This character cannot use this.[383838][HSHD]\n[CBTN=SQUARE][FEED=2](Equip Menu)[ENDN],[A85038][HSHD]このキャラクタでは、使用できません[383838][HSHD]\n[CBTN=SQUARE](装備画面へ)[ENDN],[A85038][HSHD]No disponible para este personaje.[383838][HSHD]\n[CBTN=SQUARE][FEED=2]Menú de equipo[ENDN],[A85038][HSHD]Personnage inapte.[383838][HSHD]\n[CBTN=SQUARE][FEED=2]: Menu Equip.[ENDN],[A85038][HSHD]Für gewählten Charakter\nnicht verwendbar.[383838][HSHD]\n[CBTN=SQUARE][FEED=2]Zum Ausrüstungs-Menü.[ENDN],[A85038][HSHD]Non disponibile per\nquesto personaggio.[383838][HSHD]\n[CBTN=SQUARE][FEED=2](Menu Equip)[ENDN]
UseAbilityHelpForeverMobile,[A85038][HSHD]This character cannot use this.[383838][HSHD]\nTap on Ability Menu to switch to Equip Menu[ENDN],[A85038][HSHD]This character cannot use this.[383838][HSHD]\nTap on Ability Menu to switch to Equip Menu[ENDN],[A85038][HSHD]このキャラクタでは、使用できません[383838][HSHD]\nアビリティ画面から装備画面へ移動[ENDN],[A85038][HSHD]No disponible para este personaje.[383838][HSHD]\nToca Menú de habilidades\npara ir al Menú de equipo.[ENDN],[A85038][HSHD]Personnage inapte.[383838][HSHD]\nTouchez Menu Comp.\npour alterner avec Menu Equip.[ENDN],"[A85038][HSHD]Für gewählten Charakter\nnicht verwendbar.[383838][HSHD]\nTippen Sie auf das Ability-Menü, um zum\nAusrüstungs-Menü zu wechseln.[ENDN]",[A85038][HSHD]Non disponibile per\nquesto personaggio.[383838][HSHD]\nTocca Menu Abilità\nper passare al Menu Equip.[ENDN]
UseAbilityNoMagic,[A85038][HSHD]You cannot use this at this location.[383838][HSHD]\n[CBTN=SQUARE][FEED=2](Equip Menu)[ENDN],[A85038][HSHD]You cannot use this at this location.[383838][HSHD]\n[CBTN=SQUARE][FEED=2](Equip Menu)[ENDN],[A85038][HSHD]この場所では、使用できません[383838][HSHD]\n[CBTN=SQUARE](装備画面へ)[ENDN],[A85038][HSHD]No puede utilizarse en este lugar.[383838][HSHD]\n[CBTN=SQUARE][FEED=2]Menú de equipo[ENDN],[A85038][HSHD]Compétence inutilisable à cet endroit.[383838][HSHD]\n[CBTN=SQUARE][FEED=2]: Menu Equip.[ENDN],[A85038][HSHD]Kann an diesem Ort\nnicht ausgeführt werden.[383838][HSHD]\n[CBTN=SQUARE][FEED=2]Zum Ausrüstungs-Menü.[ENDN],[A85038][HSHD]Impossibile usarlo\nin questo posto.[383838][HSHD]\n[CBTN=SQUARE][FEED=2](Menu Equip)[ENDN]
UseAbilityNoMagicMobile,[A85038][HSHD]You cannot use this at this location.[383838][HSHD]\nTap on Ability Menu to switch to Equip Menu[ENDN],[A85038][HSHD]You cannot use this at this location.[383838][HSHD]\nTap on Ability Menu to switch to Equip Menu[ENDN],[A85038][HSHD]この場所では、使用できません[383838][HSHD]\nアビリティ画面から装備画面へ移動[ENDN],[A85038][HSHD]No puede utilizarse en este lugar.[383838][HSHD]\nToca Menú de habilidades\npara ir al Menú de equipo.[ENDN],[A85038][HSHD]Compétence inutilisable à cet endroit.[383838][HSHD]\nTouchez Menu Comp.\npour alterner avec Menu Equip.[ENDN],"[A85038][HSHD]Kann an diesem Ort\nnicht ausgeführt werden.[383838][HSHD]\nTippen Sie auf das Ability-Menü, um zum\nAusrüstungs-Menü zu wechseln.[ENDN]",[A85038][HSHD]Impossibile usarlo\nin questo posto.[383838][HSHD]\nTocca Menu Abilità\nper passare al Menu Equip.[ENDN]
EquipAbilityHelpNow,\n[A85038][HSHD]This character cannot use this\nunder present conditions.[383838][HSHD]\n[CBTN=SQUARE][FEED=2](Equip Menu)[ENDN],\n[A85038][HSHD]This character cannot use this\nunder present conditions.[383838][HSHD]\n[CBTN=SQUARE][FEED=2](Equip Menu)[ENDN],\n[A85038][HSHD]現在このキャラクタは、使用できない状態です。[383838][HSHD]\n[CBTN=SQUARE](装備画面へ)[ENDN],\n[A85038][HSHD]El personaje no está en condiciones.[383838][HSHD]\n[CBTN=SQUARE][FEED=2]Menú de equipo[ENDN],\n[A85038][HSHD]Personnage temporairement incapable\nd’exercer cette compétence.[383838][HSHD]\n[CBTN=SQUARE][FEED=2]: Menu Equip.[ENDN],\n[A85038][HSHD]Im momentanen Zustand von diesem \nCharakter nicht verwendbar.[383838][HSHD]\n[CBTN=SQUARE][FEED=2]Zum Ausrüstungs-Menü.[ENDN],\n[A85038][HSHD]Personaggio in condizioni non\nidonee per poterlo utilizzare.[383838][HSHD]\n[CBTN=SQUARE][FEED=2](Menu Equip)[ENDN]
EquipAbilityHelpNowMobile,\n[A85038][HSHD]This character cannot use this\nunder present conditions.[383838][HSHD]\nTap on Ability Menu to switch to Equip Menu[ENDN],\n[A85038][HSHD]This character cannot use this\nunder present conditions.[383838][HSHD]\nTap on Ability Menu to switch to Equip Menu[ENDN],\n[A85038][HSHD]現在このキャラクタは、使用できない状態です。[383838][HSHD]\nアビリティ画面から装備画面へ移動[ENDN],\n[A85038][HSHD]El personaje no está en condiciones.[383838][HSHD]\nToca Menú de habilidades\npara ir al Menú de equipo.[ENDN],\n[A85038][HSHD]Personnage temporairement incapable\nd’exercer cette compétence.[383838][HSHD]\nTouchez Menu Comp.\npour alterner avec Menu Equip.[ENDN],"\n[A85038][HSHD]Im momentanen Zustand von diesem \nCharakter nicht verwendbar.[383838][HSHD]\nTippen Sie auf das Ability-Menü, um zum\nAusrüstungs-Menü zu wechseln.[ENDN]",\n[A85038][HSHD]Personaggio in condizioni non\nidonee per poterlo utilizzare.[383838][HSHD]\nTocca Menu Abilità\nper passare al Menu Equip.[ENDN]
EquipAbilityForever,\n[A85038][HSHD]This character cannot use this.[383838][HSHD][ENDN],\n[A85038][HSHD]This character cannot use this.[383838][HSHD][ENDN],\n[A85038][HSHD]このキャラクタでは、使用できません[383838][HSHD][ENDN],\n[A85038][HSHD] No disponible para este personaje.[383838][HSHD][ENDN],\n[A85038][HSHD]Personnage indisponible.[383838][HSHD][ENDN],\n[A85038][HSHD]Für gewählten Charakter\nnicht verwendbar.[383838][HSHD][ENDN],\n[A85038][HSHD]Non disponibile per\nquesto personaggio.[383838][HSHD][ENDN]
AllTarget,All,All,全体,Grupo,Multi-cible,Fläche,Tutti
,,,,,,,
Equip,Equip,Equip,そうび,Equipo,Equip.,Anlegen,Equip
Optimize,Optimize,Optimise,さいきょう,Auto,Auto,Optimal ,Auto
OffEquipment,Off,Off,はずす,Quitar,Enlever,Ablegen,Togli
EquipDetailHelp,Change equipment.\n[CBTN=SQUARE][FEED=2](Ability Menu)[ENDN],Change equipment.\n[CBTN=SQUARE][FEED=2](Ability Menu)[ENDN],装備を変更します。\n[CBTN=SQUARE](アビリティ画面へ)[ENDN],Permite elegir tu equipo.\n[CBTN=SQUARE][FEED=2]Menú de habilidades[ENDN],Modifie l’équipement.\n[CBTN=SQUARE][FEED=2]: Menu Comp.[ENDN],Ausrüstung ändern\n[CBTN=SQUARE][FEED=2]Zum Ability-Menü[ENDN],Permette di scegliere\nl’equipaggiamento.\n[CBTN=SQUARE][FEED=2](Menu Abilità)[ENDN]
EquipDetailHelpForMobile,Change equipment.\nTap on Equip Menu to switch to Ability Menu,Change equipment.\nTap on Equip Menu to switch to Ability Menu,装備を変更します。\n装備画面からアビリティ画面へ移動,Permite elegir tu equipo.\nToca Menú de equipo para\nir al Menú de habilidades.,Modifie l’équipement.\nTouchez Menu Equip.\npour alterner avec Menu Comp.,"Ausrüstung ändern\nTippen Sie auf das Ausrüstungs-Menü,\num zum Ability-Menü zu wechseln.",Permette di scegliere\nl’equipaggiamento\nTocca Menu Equip\nper passare al Menu Abilità.
OptimizeHelp,Automatically equip the best items\navailable in your inventory to\nmaximize character performance.\n[CBTN=SQUARE][FEED=2](Ability Menu)[ENDN],Automatically equip the best items\navailable in your inventory to\nmaximise character performance.\n[CBTN=SQUARE][FEED=2](Ability Menu)[ENDN],現在のアイテムの中から自動で\nさいきょうの装備に変更します。\n[CBTN=SQUARE](アビリティ画面へ)[ENDN],Elige automáticamente\nel equipo más fuerte.[ENDN]\n[CBTN=SQUARE][FEED=2]Menú de habilidades,Attribue automatiquement\n[YSUB=4]l’équipement le plus puissant\n[YSUB=4]en votre possession.\n[CBTN=SQUARE][FEED=2]: Menu Comp.[ENDN],"Charakter wird automatisch\n[YSUB=4]mit der stärksten Waffen- und\n[YSUB=4]Rüstungskombination ausgerüstet,\n[YSUB=4]die sich im Inventar befindet.\n[CBTN=SQUARE][FEED=2]Zum Ability-Menü[ENDN]",Ottimizza automaticamente\nl’equipaggiamento del personaggio.\n[CBTN=SQUARE][FEED=2](Menu Abilità)[ENDN]
OptimizeHelpForMobile,Automatically equip the best items\navailable in your inventory to\nmaximize character performance.\nTap on Equip Menu to switch to Ability Menu[ENDN],Automatically equip the best items\navailable in your inventory to\nmaximise character performance.\nTap on Equip Menu to switch to Ability Menu[ENDN],現在のアイテムの中から自動で\nさいきょうの装備に変更します。\n装備画面からアビリティ画面へ移動[ENDN],Elige automáticamente\nel equipo más fuerte.\nToca Menú de equipo para\nir al Menú de habilidades.[ENDN],Attribue automatiquement\n[YSUB=4]l’équipement le plus puissant\n[YSUB=4]en votre possession.\nTouchez Menu Equip.\npour alterner avec Menu Comp.[ENDN],"Charakter wird automatisch\n[YSUB=4]mit der stärksten Waffen- und\n[YSUB=4]Rüstungskombination ausgerüstet,\n[YSUB=4]die sich im Inventar befindet.\nTippen Sie auf das Ausrüstungs-Menü,\num zum Ability-Menü zu wechseln.[ENDN]",Ottimizza automaticamente\nl’equipaggiamento del personaggio.\nTocca Menu Equip\nper passare al Menu Abilità.[ENDN]
OffEquipmentHelp,Remove equipment.\n[A85038][HSHD]You cannot remove your weapon.[383838][HSHD]\n[CBTN=SQUARE][FEED=2](Ability Menu)[ENDN],Remove equipment.\n[A85038][HSHD]You cannot remove your weapon.[383838][HSHD]\n[CBTN=SQUARE][FEED=2](Ability Menu)[ENDN],装備をはずします。\n[A85038][HSHD]武器ははずせません。[383838][HSHD]\n[CBTN=SQUARE](アビリティ画面へ)[ENDN],"Permite quitar objetos\ndel equipo, [A85038][HSHD]excepto armas[383838][HSHD].\n[CBTN=SQUARE][FEED=2]Menú de habilidades[ENDN]",Enlève des éléments\n[YSUB=4]de l’équipement.\n[A85038][HSHD]Impossible d’enlever\n[YSUB=4]l’arme.[383838][HSHD]\n[CBTN=SQUARE][FEED=2]: Menu Comp.[ENDN],Rüstung[FEED=3]wird[FEED=3]abgelegt.[FEED=254]\n[A85038][HSHD]Die Waffen werden\n[YSUB=5]weiterhin getragen.[383838][HSHD]\n[CBTN=SQUARE][FEED=2]Zum Ability-Menü[ENDN],Toglie oggetti in\nequipaggiamento.\n[A85038][HSHD]Le armi non possono\n[YSUB=4]essere tolte.[383838][HSHD]\n[CBTN=SQUARE][FEED=2](Menu Abilità)[ENDN]
,,,,,,,
OffEquipmentHelpForMobile,Remove equipment.\n[A85038][HSHD]You cannot remove your weapon.[383838][HSHD]\nTap on Equip Menu to switch to Ability Menu[ENDN],Remove equipment.\n[A85038][HSHD]You cannot remove your weapon.[383838][HSHD]\nTap on Equip Menu to switch to Ability Menu[ENDN],装備をはずします。\n[A85038][HSHD]武器ははずせません。[383838][HSHD]\n装備画面からアビリティ画面へ移動[ENDN],"Permite quitar objetos\ndel equipo, [A85038][HSHD]excepto armas[383838][HSHD].\nToca Menú de equipo para\nir al Menú de habilidades.[ENDN]",Enlève des éléments\n[YSUB=4]de l’équipement.\n[A85038][HSHD]Impossible d’enlever\n[YSUB=4]l’arme.[383838][HSHD]\nTouchez Menu Equip.\npour alterner avec Menu Comp.[ENDN],"Rüstung[FEED=3]wird[FEED=3]abgelegt.[FEED=254]\n[A85038][HSHD]Die Waffen werden\n[YSUB=5]weiterhin getragen.[383838][HSHD]\nTippen Sie auf das Ausrüstungs-Menü,\num zum Ability-Menü zu wechseln.[ENDN]",Toglie oggetti in\nequipaggiamento.\n[A85038][HSHD]Le armi non possono\n[YSUB=4]essere tolte.[383838][HSHD]\nTocca Menu Equip\nper passare al Menu Abilità.[ENDN]
,,,,,,,
NoEquipHelp,Nothing is equipped.[ENDN],Nothing is equipped.[ENDN],何も装備していません。[ENDN],No llevas nada puesto.[ENDN],Aucun équipement[ENDN],Charakter ist nicht ausgerüstet.[ENDN],Non ha niente in\nequipaggiamento.[ENDN]
,,,,,,,
Status,Status,Status,ステータス,Condición,Etat,Status,Status
